date,open,close,high,low,volume,code
2020-01-02,8.26,8.2267,8.2933,8.2267,10302690.0,002493
2020-01-03,8.2133,8.2267,8.2467,8.1733,7507341.0,002493
2020-01-06,8.2267,8.2,8.2933,8.1333,12855444.0,002493
2020-01-07,8.2,8.14,8.2267,8.0667,9802734.0,002493
2020-01-08,8.1267,7.9667,8.1333,7.9267,9478233.0,002493
2020-01-09,8.0,8.0133,8.0667,7.94,6954802.0,002493
2020-01-10,8.0333,8.0533,8.0933,7.94,7139551.0,002493
2020-01-13,8.0667,8.04,8.0667,7.9667,5134743.0,002493
2020-01-14,8.0533,8.1267,8.1733,8.04,6383032.0,002493
2020-01-15,8.14,7.9933,8.14,7.96,5933031.0,002493
2020-01-16,7.9933,7.9333,8.0067,7.92,4193212.0,002493
2020-01-17,8.0133,8.0,8.1067,7.9333,5523762.0,002493
2020-01-20,8.04,8.0067,8.04,7.88,7002037.0,002493
2020-01-21,8.0067,8.1333,8.1333,7.8667,8163426.0,002493
2020-01-22,7.9933,7.9733,8.06,7.74,10010268.0,002493
2020-01-23,7.94,7.6733,7.9533,7.6733,8291535.0,002493
2020-02-03,6.9,6.9,6.9,6.9,3855450.0,002493
2020-02-04,6.2667,6.9,6.9267,6.2667,25150815.0,002493
2020-02-05,6.8267,6.88,6.9067,6.7133,16565605.0,002493
2020-02-06,6.92,7.0667,7.1467,6.8,13094476.0,002493
2020-02-07,7.1067,6.9867,7.1067,6.94,10387998.0,002493
2020-02-10,6.98,7.1,7.38,6.8667,10467154.0,002493
2020-02-11,7.0667,7.1333,7.2,7.0267,18198624.0,002493
2020-02-12,7.1067,7.18,7.2733,7.0733,13020627.0,002493
2020-02-13,7.22,7.1333,7.24,6.9667,23956441.0,002493
2020-02-14,7.0667,7.0667,7.1133,7.0,5749491.0,002493
2020-02-17,7.1333,7.2933,7.2933,7.1,10018597.0,002493
2020-02-18,7.2867,7.2067,7.3333,7.18,6929328.0,002493
2020-02-19,7.24,7.24,7.2733,7.1467,7199991.0,002493
2020-02-20,7.3067,7.2867,7.3133,7.1733,7120921.0,002493
2020-02-21,7.28,7.28,7.3,7.2133,7994224.0,002493
2020-02-24,7.2667,7.2133,7.2667,7.14,8349183.0,002493
2020-02-25,7.1267,7.0867,7.2133,6.96,13870219.0,002493
2020-02-26,7.0533,7.14,7.2267,7.0267,11220391.0,002493
2020-02-27,7.2067,7.1467,7.3,7.1067,10264977.0,002493
2020-02-28,7.0467,6.9,7.0733,6.9,15391060.0,002493
2020-03-02,6.9733,7.1667,7.24,6.96,12565770.0,002493
2020-03-03,7.1667,7.2067,7.3067,7.1533,9752836.0,002493
2020-03-04,7.2,7.4067,7.4467,7.1533,18052719.0,002493
2020-03-05,7.44,7.4133,7.4933,7.2733,19547056.0,002493
2020-03-06,7.4067,7.7467,7.92,7.3533,25320493.0,002493
2020-03-09,7.8667,7.6667,8.04,7.6133,34501471.0,002493
2020-03-10,7.6267,7.4133,7.6267,7.1333,39628587.0,002493
2020-03-11,7.4133,7.2667,7.48,7.2533,23841826.0,002493
2020-03-12,7.2,7.08,7.2133,7.0667,8429313.0,002493
2020-03-13,6.6667,7.0867,7.1733,6.6667,14446186.0,002493
2020-03-16,7.2333,7.04,7.26,6.9467,13175865.0,002493
2020-03-17,7.0667,7.02,7.1733,6.9067,9592437.0,002493
2020-03-18,7.1533,7.0133,7.1533,6.92,7287252.0,002493
2020-03-19,6.9333,6.9,7.0467,6.8467,9504183.0,002493
2020-03-20,6.96,6.9533,6.98,6.7733,5032116.0,002493
2020-03-23,6.9333,6.92,7.0133,6.82,9445164.0,002493
2020-03-24,7.0133,7.04,7.12,6.9333,7453407.0,002493
2020-03-25,7.18,7.0867,7.1933,7.0,7365735.0,002493
2020-03-26,7.0867,7.0733,7.1,7.02,3960123.0,002493
2020-03-27,7.1,7.1,7.1533,7.04,3410712.0,002493
2020-03-30,7.0533,7.0067,7.1267,6.9733,12712722.0,002493
2020-03-31,7.1133,7.28,7.7,7.0333,18707265.0,002493
2020-04-01,7.1667,7.0333,7.2867,7.0333,9884824.0,002493
2020-04-02,7.0733,7.1933,7.2267,6.9333,7318989.0,002493
2020-04-03,7.26,7.34,7.4467,7.1533,19568835.0,002493
2020-04-07,7.4067,7.34,7.62,7.34,11179674.0,002493
2020-04-08,7.3267,7.26,7.3267,7.2267,6264316.0,002493
2020-04-09,7.2867,7.2933,7.3133,7.24,8695237.0,002493
2020-04-10,7.2133,7.3533,7.38,7.2133,10982185.0,002493
2020-04-13,7.3333,7.4267,7.5,7.3333,5309439.0,002493
2020-04-14,7.5,7.44,7.5667,7.3733,24698536.0,002493
2020-04-15,7.7,7.82,7.9467,7.5467,30831463.0,002493
2020-04-16,7.7267,7.72,7.9067,7.68,10274088.0,002493
2020-04-17,7.8,7.94,8.0333,7.7,28101313.0,002493
2020-04-20,7.9933,7.7867,7.9933,7.7467,13479765.0,002493
2020-04-21,7.8067,7.8333,7.9333,7.6667,9068497.0,002493
2020-04-22,7.8333,7.9933,8.0067,7.8067,20688361.0,002493
2020-04-23,8.04,7.9467,8.1533,7.9,11690538.0,002493
2020-04-24,7.9133,7.9533,8.0333,7.8067,10725702.0,002493
2020-04-27,8.0267,7.8733,8.0267,7.8,8852640.0,002493
2020-04-28,7.8733,7.88,7.94,7.68,8442175.0,002493
2020-04-29,7.9267,7.94,8.08,7.8533,14625070.0,002493
2020-04-30,8.06,7.9667,8.1067,7.8133,18470005.0,002493
2020-05-06,7.86,8.1533,8.1867,7.8533,24955696.0,002493
2020-05-07,8.24,8.0133,8.24,7.96,14627692.0,002493
2020-05-08,8.1,8.0067,8.1,7.9867,14381193.0,002493
2020-05-11,8.0267,7.9067,8.0267,7.8333,15525996.0,002493
2020-05-12,7.8867,7.8933,7.94,7.8533,8314806.0,002493
2020-05-13,7.8867,7.84,7.92,7.7533,9581350.0,002493
2020-05-14,7.84,7.82,7.9333,7.74,9007138.0,002493
2020-05-15,7.7667,7.7133,7.88,7.6867,8144862.0,002493
2020-05-18,7.7133,7.8,7.82,7.6067,5838874.0,002493
2020-05-19,7.7867,7.82,7.8933,7.7867,6019362.0,002493
2020-05-20,7.8867,7.84,7.8867,7.7,5463343.0,002493
2020-05-21,7.8333,7.82,7.9,7.7933,4757638.0,002493
2020-05-22,7.8333,7.7533,7.8333,7.6667,6082461.0,002493
2020-05-25,7.7933,7.76,7.8067,7.6667,5322628.0,002493
2020-05-26,7.7667,7.72,7.8533,7.68,6214959.0,002493
2020-05-27,7.6733,7.76,7.8133,7.6733,4244194.0,002493
2020-05-28,7.7667,7.7667,7.9149,7.6994,11058859.0,002493
2020-05-29,7.8206,7.8004,7.8206,7.7465,5673181.0,002493
2020-06-01,7.8206,7.8543,7.9149,7.7869,9275520.0,002493
2020-06-02,7.8745,7.8543,7.9015,7.7869,8783022.0,002493
2020-06-03,7.8813,8.0092,8.2719,7.8476,23356405.0,002493
2020-06-04,8.0631,7.9486,8.0631,7.9284,6876522.0,002493
2020-06-05,7.9958,8.3124,8.3662,7.9351,29038575.0,002493
2020-06-08,8.3932,8.4471,8.5885,8.2854,26195800.0,002493
2020-06-09,8.3326,8.6222,8.6222,8.3326,23710447.0,002493
2020-06-10,8.5549,8.5818,8.629,8.3797,18537280.0,002493
2020-06-11,8.5818,8.3191,8.5818,8.3191,19381203.0,002493
2020-06-12,8.2113,8.1507,8.2787,8.0968,19334443.0,002493
2020-06-15,8.1035,7.9756,8.2248,7.9621,13944982.0,002493
2020-06-16,8.0968,7.9621,8.0968,7.9284,14700502.0,002493
2020-06-17,8.016,7.9149,8.016,7.8745,13393330.0,002493
2020-06-18,7.9621,8.1237,8.1574,7.888,15990028.0,002493
2020-06-19,8.1103,8.0497,8.245,8.0362,21207210.0,002493
2020-06-22,8.0833,7.989,8.0901,7.9823,12666565.0,002493
2020-06-23,7.9553,8.0025,8.0294,7.888,9430309.0,002493
2020-06-24,8.0092,8.0833,8.1238,7.9419,10725394.0,002493
2020-06-29,7.9756,8.1237,8.1574,7.9756,13079331.0,002493
2020-06-30,8.2046,8.2652,8.3326,8.1574,20757040.0,002493
2020-07-01,8.2922,8.2854,8.3999,8.2585,42770521.0,002493
2020-07-02,8.3528,8.4269,8.5212,8.2989,70595895.0,002493
2020-07-03,8.5347,8.8849,9.0466,8.5347,111644716.0,002493
2020-07-06,9.2285,9.3901,9.6663,9.1746,120330997.0,002493
2020-07-07,9.4036,9.7741,9.8886,9.2689,110990452.0,002493
2020-07-08,9.7741,10.2928,10.3938,9.6192,116214487.0,002493
2020-07-09,10.1715,10.4544,10.6767,9.8212,85471230.0,002493
2020-07-10,10.2793,10.7104,10.8384,10.1042,98395258.0,002493
2020-07-13,10.7441,11.0944,11.2022,10.5083,113176543.0,002493
2020-07-14,10.9125,10.5622,10.9125,10.2524,101869282.0,002493
2020-07-15,10.0705,10.4544,10.798,9.9829,132562743.0,002493
2020-07-16,10.4073,10.1311,10.6498,10.0368,61306233.0,002493
2020-07-17,10.3938,10.5824,10.8115,10.1378,89352564.0,002493
2020-07-20,10.8788,11.5187,11.64,10.7104,176919073.0,002493
2020-07-21,11.4851,11.1819,11.64,11.0607,77492859.0,002493
2020-07-22,11.3167,11.7208,11.9499,11.2628,128417160.0,002493
2020-07-23,11.4447,11.5928,11.6669,11.3099,52166053.0,002493
2020-07-24,11.4581,11.0405,11.64,10.9866,75198606.0,002493
2020-07-27,11.1213,10.9664,11.4379,10.7913,49377618.0,002493
2020-07-28,11.0876,10.798,11.4312,10.67,85852914.0,002493
2020-07-29,10.926,10.9058,11.027,10.5487,56010160.0,002493
2020-07-30,10.8923,10.8923,11.3167,10.8115,62044654.0,002493
2020-07-31,10.9125,11.2358,11.6804,10.8451,79637985.0,002493
2020-08-03,11.4985,11.5322,11.6333,11.3167,60972694.0,002493
2020-08-04,11.5524,12.1924,12.4147,11.539,125165824.0,002493
2020-08-05,12.1115,12.6504,13.0478,12.0576,90954418.0,002493
2020-08-06,12.8188,12.5224,12.967,12.226,57967992.0,002493
2020-08-07,12.4887,12.8862,12.8929,12.3203,53393557.0,002493
2020-08-10,12.8997,12.8053,12.9872,12.5561,60829990.0,002493
2020-08-11,12.967,13.0074,13.3038,12.5965,88867987.0,002493
2020-08-12,12.6639,12.5831,12.7582,12.0374,93996568.0,002493
2020-08-13,12.6369,12.8929,13.0007,12.5898,63103486.0,002493
2020-08-14,12.994,13.0344,13.2365,12.7515,46625862.0,002493
2020-08-17,12.9333,13.5261,13.6137,12.9199,75514773.0,002493
2020-08-18,13.5396,13.5261,13.6406,13.3038,42460318.0,002493
2020-08-19,13.5328,14.1054,14.5231,13.4183,83964925.0,002493
2020-08-20,13.9842,13.8225,14.2334,13.5531,44681782.0,002493
2020-08-21,13.8764,13.9303,14.3008,13.6069,36408747.0,002493
2020-08-24,13.937,13.9101,14.2806,13.6878,39082345.0,002493
2020-08-25,13.937,13.8629,14.166,13.7417,38778619.0,002493
2020-08-26,13.7215,13.196,13.8697,13.1354,68577372.0,002493
2020-08-27,13.2769,13.2297,13.5598,13.1085,39620719.0,002493
2020-08-28,13.2701,13.4453,13.4857,12.9738,47225257.0,002493
2020-08-31,13.5059,13.4183,13.7012,13.2432,51431302.0,002493
2020-09-01,13.2701,13.4722,13.7753,13.1354,62185270.0,002493
2020-09-02,13.5126,13.4722,13.6676,13.2701,50434138.0,002493
2020-09-03,13.4385,13.1758,13.6069,12.8929,73915021.0,002493
2020-09-04,12.9131,12.994,13.0209,12.381,64713438.0,002493
2020-09-07,12.8997,12.3877,12.9872,12.2597,62541246.0,002493
2020-09-08,12.509,12.5157,12.8525,12.3877,52965216.0,002493
2020-09-09,12.3271,12.0644,12.3608,11.896,42775468.0,002493
2020-09-10,12.2395,12.0778,12.3406,12.0307,41192982.0,002493
2020-09-11,12.2126,12.1317,12.2126,11.9094,27986377.0,002493
2020-09-14,12.3675,12.3944,12.6437,12.0576,44738134.0,002493
2020-09-15,12.3338,12.6976,12.8188,12.2058,37190716.0,002493
2020-09-16,12.7717,12.6976,12.8929,12.61,29784666.0,002493
2020-09-17,12.6908,12.5965,12.8862,12.4618,32851494.0,002493
2020-09-18,12.5965,12.7515,12.866,12.4955,32291899.0,002493
2020-09-21,12.9266,13.1085,13.324,12.8053,39453684.0,002493
2020-09-22,12.9131,12.6639,12.9535,12.6437,33299272.0,002493
2020-09-23,12.866,12.738,12.9535,12.5965,24948874.0,002493
2020-09-24,12.5494,12.4618,12.6841,12.3406,25663131.0,002493
2020-09-25,12.6167,12.8053,12.8323,12.4281,32447464.0,002493
2020-09-28,12.9805,12.6437,13.2095,12.5763,27890907.0,002493
2020-09-29,12.839,12.8862,12.9266,12.5022,27844503.0,002493
2020-09-30,13.0411,12.6167,13.1219,12.5494,28476636.0,002493
2020-10-09,12.9199,12.5494,12.9199,12.3473,33635484.0,002493
2020-10-12,12.4349,12.8323,12.8929,12.381,42397561.0,002493
2020-10-13,12.8458,12.8323,12.8997,12.5561,28572792.0,002493
2020-10-14,12.8592,13.5598,13.5867,12.7717,65255080.0,002493
2020-10-15,13.4318,13.2634,13.6608,13.196,38662227.0,002493
2020-10-16,13.2903,13.0344,13.3779,13.0007,30854601.0,002493
2020-10-19,13.1691,13.3308,13.8023,13.0883,72440754.0,002493
2020-10-20,13.3644,13.1489,13.3644,12.9535,35024166.0,002493
2020-10-21,13.1556,13.0613,13.2028,12.967,25498515.0,002493
2020-10-22,13.0142,12.6437,13.0276,12.4349,43213920.0,002493
2020-10-23,12.6774,12.4012,12.8727,12.3271,24966939.0,002493
2020-10-26,12.3877,12.7717,12.8592,12.0846,35821942.0,002493
2020-10-27,12.7312,12.866,12.994,12.5696,26316234.0,002493
2020-10-28,12.967,13.1085,13.3106,12.7245,35983371.0,002493
2020-10-29,13.1556,12.9333,13.3442,12.7919,37846371.0,002493
2020-10-30,13.0815,12.8053,13.1624,12.5022,46199976.0,002493
2020-11-02,12.7649,13.1287,13.2028,12.5157,35323630.0,002493
2020-11-03,13.1489,13.8697,14.1391,13.1489,64193974.0,002493
2020-11-04,14.0111,14.779,14.9003,13.8899,60580597.0,002493
2020-11-05,14.9676,14.8733,15.1832,14.651,73834638.0,002493
2020-11-06,14.9542,15.4728,15.7423,14.9474,88070755.0,002493
2020-11-09,15.7625,15.4257,16.0319,15.3112,64315159.0,002493
2020-11-10,15.6817,15.6682,15.9242,15.3651,71206392.0,002493
2020-11-11,15.8029,15.6615,16.3283,15.6615,75033949.0,002493
2020-11-12,15.6951,15.9781,16.005,15.6278,34775383.0,002493
2020-11-13,15.7423,15.6547,15.9107,15.5335,38424531.0,002493
2020-11-16,15.8972,16.3283,16.3283,15.5739,62475690.0,002493
2020-11-17,16.1801,16.1532,16.4698,15.9107,38990436.0,002493
2020-11-18,16.1667,16.133,16.5843,16.005,37798449.0,002493
2020-11-19,16.133,15.9983,16.234,15.5941,80065261.0,002493
2020-11-20,15.8905,16.005,16.3149,15.52,101402406.0,002493
2020-11-23,16.1465,16.9817,17.2108,16.106,65726439.0,002493
2020-11-24,16.9211,17.5139,17.5947,16.9144,58924612.0,002493
2020-11-25,17.7025,17.4128,18.046,17.3859,76080195.0,002493
2020-11-26,17.3859,17.3792,17.5341,16.8403,36232548.0,002493
2020-11-27,17.5206,17.3859,17.8372,17.0424,36163774.0,002493
2020-11-30,17.5341,17.3253,17.7564,17.0963,62643091.0,002493
2020-12-01,17.4263,17.4331,17.6486,17.1097,50088073.0,002493
2020-12-02,17.3926,17.5274,17.6823,16.9817,39224940.0,002493
2020-12-03,17.7766,17.0019,17.7766,16.7999,41599620.0,002493
2020-12-04,16.8538,17.2108,17.2714,16.7864,27120141.0,002493
