date,open,close,high,low,volume,code
2020-01-02,9.56,9.58,9.65,9.56,13777997.0,600989
2020-01-03,9.6,9.69,9.69,9.57,15192566.0,600989
2020-01-06,9.69,9.74,9.84,9.68,19341137.0,600989
2020-01-07,9.77,9.75,9.82,9.69,14529238.0,600989
2020-01-08,9.58,9.58,9.58,9.58,17123885.0,600989
2020-01-09,9.61,9.65,9.69,9.61,9471960.0,600989
2020-01-10,9.7,9.62,9.72,9.59,7822452.0,600989
2020-01-13,9.66,9.66,9.66,9.66,8273270.0,600989
2020-01-14,9.67,9.67,9.67,9.67,8910874.0,600989
2020-01-15,9.73,9.62,9.74,9.6,8512148.0,600989
2020-01-16,9.59,9.53,9.64,9.52,8665680.0,600989
2020-01-17,9.54,9.48,9.58,9.47,7966336.0,600989
2020-01-20,9.54,9.5,9.57,9.45,7614932.0,600989
2020-01-21,9.52,9.38,9.52,9.37,9432456.0,600989
2020-01-22,9.38,9.36,9.4,9.27,9562437.0,600989
2020-01-23,9.34,9.08,9.34,9.02,12715409.0,600989
2020-02-03,8.17,8.17,8.17,8.17,6290000.0,600989
2020-02-04,7.36,7.88,7.98,7.36,24235703.0,600989
2020-02-05,7.89,8.01,8.19,7.85,18287432.0,600989
2020-02-06,8.09,8.11,8.14,7.97,15509449.0,600989
2020-02-07,8.12,8.14,8.19,8.06,13986986.0,600989
2020-02-10,8.11,8.48,8.53,8.06,22487934.0,600989
2020-02-11,8.84,8.82,9.27,8.81,41133120.0,600989
2020-02-12,8.8,8.82,8.94,8.68,15254257.0,600989
2020-02-13,8.82,8.72,8.93,8.71,13491663.0,600989
2020-02-14,8.7,8.71,8.78,8.68,8845971.0,600989
2020-02-17,8.86,8.96,9.04,8.86,15470630.0,600989
2020-02-18,9.0,9.04,9.17,8.97,18304735.0,600989
2020-02-19,9.07,8.9,9.09,8.9,14566549.0,600989
2020-02-20,8.95,9.02,9.07,8.9,14312285.0,600989
2020-02-21,9.02,8.97,9.05,8.95,14980590.0,600989
2020-02-24,9.08,9.21,9.25,9.08,26633586.0,600989
2020-02-25,9.08,9.55,9.67,9.03,55127895.0,600989
2020-02-26,9.45,9.37,9.76,9.35,36732725.0,600989
2020-02-27,9.58,9.44,9.59,9.39,17160776.0,600989
2020-02-28,9.26,9.51,9.68,9.19,54853040.0,600989
2020-03-02,10.12,10.2,10.44,9.81,89463532.0,600989
2020-03-03,10.08,10.1,10.22,9.98,61247697.0,600989
2020-03-04,10.14,10.18,10.39,10.06,45782260.0,600989
2020-03-05,10.32,10.22,10.39,10.1,42852176.0,600989
2020-03-06,10.15,10.78,11.18,10.11,118046817.0,600989
2020-03-09,10.85,10.49,11.29,10.46,105062505.0,600989
2020-03-10,9.9,9.92,10.25,9.48,71646706.0,600989
2020-03-11,9.96,9.74,9.99,9.72,36259851.0,600989
2020-03-12,9.67,9.45,9.91,9.4,35224096.0,600989
2020-03-13,8.98,9.09,9.16,8.78,33485619.0,600989
2020-03-16,9.34,9.04,9.46,9.0,31424951.0,600989
2020-03-17,9.06,8.85,9.17,8.57,26210435.0,600989
2020-03-18,8.91,8.66,8.98,8.65,19801502.0,600989
