date,open,close,high,low,volume,code
2020-01-02,14.7,14.8,14.89,14.62,4930246.0,002737
2020-01-03,14.89,14.78,14.89,14.71,2953558.0,002737
2020-01-06,14.75,14.76,14.84,14.66,3684512.0,002737
2020-01-07,14.76,15.12,15.16,14.74,7613069.0,002737
2020-01-08,15.01,14.92,15.18,14.9,4262700.0,002737
2020-01-09,14.99,15.03,15.1,14.95,3074810.0,002737
2020-01-10,15.05,15.11,15.16,15.0,2572382.0,002737
2020-01-13,15.12,15.28,15.38,15.02,3711414.0,002737
2020-01-14,15.28,15.05,15.35,15.0,3663741.0,002737
2020-01-15,15.07,14.97,15.13,14.87,3154422.0,002737
2020-01-16,15.0,14.77,15.01,14.72,3613659.0,002737
2020-01-17,14.79,14.71,14.89,14.66,4268852.0,002737
2020-01-20,14.94,15.71,15.71,14.92,17148122.0,002737
2020-01-21,16.29,16.07,16.44,15.73,20941054.0,002737
2020-01-22,16.27,15.37,16.28,15.3,13045999.0,002737
2020-01-23,15.43,15.17,15.68,14.92,10789427.0,002737
2020-02-03,15.99,16.32,16.32,15.18,40365083.0,002737
2020-02-04,16.39,15.95,16.39,15.22,26817724.0,002737
2020-02-05,15.94,17.02,17.3,15.56,37441336.0,002737
2020-02-06,17.2,17.0,17.78,16.63,38209515.0,002737
2020-02-07,16.8,16.28,17.2,16.09,27067336.0,002737
2020-02-10,16.11,15.91,16.16,15.63,15713673.0,002737
2020-02-11,15.92,16.07,16.07,15.65,11376081.0,002737
2020-02-12,15.9,15.83,16.19,15.73,12286744.0,002737
2020-02-13,15.78,15.23,15.78,15.01,16592423.0,002737
2020-02-14,15.18,15.11,15.34,15.06,9147456.0,002737
2020-02-17,15.11,15.33,15.33,15.11,11269299.0,002737
2020-02-18,15.43,15.3,15.48,15.19,10726277.0,002737
2020-02-19,15.3,15.09,15.3,14.97,10909443.0,002737
2020-02-20,15.05,15.17,15.17,14.96,9437294.0,002737
2020-02-21,15.14,15.29,15.34,15.08,10484667.0,002737
2020-02-24,15.28,15.26,15.38,15.15,11832502.0,002737
2020-02-25,15.08,15.41,15.46,15.01,15125082.0,002737
2020-02-26,15.3,15.1,15.36,15.05,10340874.0,002737
2020-02-27,15.16,15.06,15.22,15.02,5811875.0,002737
2020-02-28,14.88,14.26,14.99,14.26,13131865.0,002737
2020-03-02,14.36,14.51,14.53,14.28,7712276.0,002737
2020-03-03,14.58,14.58,14.73,14.52,7724817.0,002737
2020-03-04,14.64,14.6,14.65,14.43,6087146.0,002737
2020-03-05,14.65,14.82,14.85,14.62,8691374.0,002737
2020-03-06,14.71,14.89,14.95,14.66,7432944.0,002737
2020-03-09,14.78,14.7,14.93,14.61,7099247.0,002737
2020-03-10,14.55,14.73,14.74,14.23,8447388.0,002737
2020-03-11,14.72,14.55,14.78,14.53,4903113.0,002737
2020-03-12,14.4,14.22,14.46,14.17,6057724.0,002737
2020-03-13,13.7,14.09,14.14,13.52,8812994.0,002737
2020-03-16,14.1,13.85,14.46,13.79,7892878.0,002737
2020-03-17,13.86,13.61,14.0,13.22,5950267.0,002737
2020-03-18,13.77,13.44,13.83,13.43,4405208.0,002737
2020-03-19,13.4,13.41,13.54,13.2,5311989.0,002737
2020-03-20,13.48,13.68,13.7,13.42,4316813.0,002737
2020-03-23,13.53,14.1,14.46,13.44,8126609.0,002737
2020-03-24,14.04,13.99,14.14,13.79,6507697.0,002737
2020-03-25,14.2,14.12,14.23,14.01,5842252.0,002737
2020-03-26,14.07,14.12,14.35,13.97,5552492.0,002737
2020-03-27,14.19,13.95,14.26,13.92,4495613.0,002737
2020-03-30,13.9,13.82,13.9,13.71,3688179.0,002737
2020-03-31,13.82,13.78,13.98,13.76,2640719.0,002737
2020-04-01,13.78,13.57,13.79,13.53,3570559.0,002737
2020-04-02,13.56,13.71,13.72,13.41,2714650.0,002737
2020-04-03,13.69,13.73,13.83,13.66,2865544.0,002737
2020-04-07,13.86,13.98,14.03,13.83,5901684.0,002737
2020-04-08,13.78,13.86,13.88,13.54,7256485.0,002737
2020-04-09,13.86,13.93,13.99,13.82,5609467.0,002737
2020-04-10,13.95,13.77,14.08,13.7,5129976.0,002737
2020-04-13,13.77,13.9,14.04,13.6,3876162.0,002737
2020-04-14,13.97,14.06,14.19,13.81,6808561.0,002737
2020-04-15,14.01,14.35,14.45,13.95,11048073.0,002737
2020-04-16,14.25,14.3,14.45,14.1,8276697.0,002737
2020-04-17,14.29,14.03,14.35,14.0,6915041.0,002737
2020-04-20,13.99,14.12,14.21,13.93,4578200.0,002737
2020-04-21,14.07,13.82,14.1,13.74,5011402.0,002737
2020-04-22,13.79,13.89,13.93,13.65,3946753.0,002737
2020-04-23,13.89,14.03,14.25,13.86,5764805.0,002737
2020-04-24,14.15,13.71,14.2,13.65,5231529.0,002737
2020-04-27,13.71,13.61,13.75,13.36,3480609.0,002737
2020-04-28,13.74,13.72,13.91,13.3,5752723.0,002737
2020-04-29,13.71,13.64,13.75,13.61,3261524.0,002737
2020-04-30,13.72,13.9,13.94,13.68,4663049.0,002737
2020-05-06,13.78,14.09,14.1,13.77,5280841.0,002737
2020-05-07,14.04,14.04,14.16,14.0,3970658.0,002737
2020-05-08,14.07,14.11,14.14,14.05,4285297.0,002737
2020-05-11,14.12,14.05,14.17,14.01,3512012.0,002737
2020-05-12,14.01,14.09,14.18,14.01,4530029.0,002737
